instance;weight;size;time
BPPC_8_0_5.txt_0.3.bz2;0;0;0
BPPC_3_0_3.txt_0.1.bz2;0;0;0
BPPC_2_0_2.txt_0.2.bz2;2106;24;177663
BPPC_1_0_10.txt_0.9.bz2;370;4;1
BPPC_4_0_2.txt_0.7.bz2;914;9;739
BPPC_3_0_6.txt_0.2.bz2;0;0;0
BPPC_7_0_7.txt_0.1.bz2;0;0;0
BPPC_2_0_4.txt_0.8.bz2;495;5;9
BPPC_8_0_7.txt_0.9.bz2;2070;5;41
BPPC_2_0_9.txt_0.4.bz2;1262;15;313
BPPC_6_0_8.txt_0.8.bz2;2055;5;1
BPPC_5_0_10.txt_0.1.bz2;8230;24;0
BPPC_3_0_8.txt_0.1.bz2;0;0;0
BPPC_4_0_7.txt_0.6.bz2;993;11;12120
BPPC_5_0_1.txt_0.5.bz2;2828;8;0
BPPC_2_0_4.txt_0.9.bz2;424;5;12
BPPC_7_0_7.txt_0.2.bz2;9805;26;149043
BPPC_5_0_1.txt_0.1.bz2;8307;24;0
BPPC_3_0_10.txt_0.8.bz2;543;6;45
BPPC_6_0_5.txt_0.1.bz2;12004;33;394
BPPC_3_0_5.txt_0.5.bz2;1133;12;2886
BPPC_7_0_9.txt_0.7.bz2;3007;8;8
BPPC_1_0_3.txt_0.7.bz2;541;6;1
BPPC_8_0_6.txt_0.6.bz2;4101;10;306
BPPC_7_0_10.txt_0.4.bz2;5539;13;346
BPPC_1_0_6.txt_0.4.bz2;944;11;6
BPPC_3_0_5.txt_0.1.bz2;0;0;0
BPPC_3_0_1.txt_0.6.bz2;935;10;286
BPPC_6_0_4.txt_0.2.bz2;7520;20;98
BPPC_8_0_3.txt_0.8.bz2;2495;6;46
BPPC_4_0_10.txt_0.6.bz2;1015;11;11813
BPPC_4_0_7.txt_0.3.bz2;0;0;0
BPPC_8_0_10.txt_0.5.bz2;5145;12;2929
BPPC_2_0_10.txt_0.6.bz2;763;9;18
BPPC_5_0_10.txt_0.8.bz2;1507;4;0
BPPC_6_0_3.txt_0.3.bz2;5607;14;23
BPPC_6_0_7.txt_0.4.bz2;4232;11;4
BPPC_3_0_3.txt_0.4.bz2;1390;15;51925
BPPC_6_0_6.txt_0.5.bz2;3682;9;2
BPPC_5_0_4.txt_0.8.bz2;1672;4;0
BPPC_1_0_9.txt_0.2.bz2;1830;21;47
BPPC_2_0_10.txt_0.2.bz2;2119;26;178461
BPPC_2_0_9.txt_0.3.bz2;1571;17;4117
BPPC_7_0_8.txt_0.6.bz2;4141;10;13
BPPC_4_0_4.txt_0.1.bz2;0;0;0
BPPC_6_0_1.txt_0.4.bz2;4528;12;4
