instance;weight;size;nodes;avg_cc;avg_min_k;avg_ratio;time;alg
BPPC_7_0_4.txt_0.8.bz2;2434;6;1100;4.93993;3.59411;0.736509;12;combo
BPPC_4_0_5.txt_0.5.bz2;1268;14;164177207;10.8683;9.43213;0.876669;321347;combo
BPPC_6_0_1.txt_0.1.bz2;11901;33;224481;26.831;25.1187;0.937546;321;combo
BPPC_5_0_9.txt_0.8.bz2;1811;4;53;4.28947;2.5905;0.612241;0;combo
BPPC_3_0_8.txt_0.9.bz2;443;5;1311;4.36558;3.05209;0.707222;39;combo
BPPC_5_0_3.txt_0.9.bz2;1314;3;32;3.57778;2.13636;0.609091;0;combo
BPPC_6_0_4.txt_0.3.bz2;5708;14;13808;12.4522;10.8468;0.8771;14;combo
BPPC_8_0_10.txt_0.6.bz2;4026;10;275152;7.90818;6.51246;0.833992;354;combo
BPPC_6_0_6.txt_0.9.bz2;1642;4;72;4.01023;2.41602;0.619544;1;combo
BPPC_5_0_7.txt_0.6.bz2;2495;6;149;5.26467;3.52103;0.670182;0;combo
BPPC_4_0_9.txt_0.4.bz2;0;0;0;0.0;0.0;0.0;0;combo
BPPC_4_0_1.txt_0.6.bz2;1025;11;8147248;8.67171;7.29013;0.85034;13004;combo
BPPC_8_0_5.txt_0.9.bz2;2163;5;1033;4.467;3.19411;0.717275;40;combo
BPPC_2_0_10.txt_0.8.bz2;545;6;885;5.11545;3.75524;0.743631;7;combo
BPPC_4_0_7.txt_0.8.bz2;635;7;72912;5.75884;4.49297;0.786073;223;combo
BPPC_3_0_5.txt_0.7.bz2;720;8;40019;6.52998;5.17833;0.802463;79;combo
BPPC_7_0_8.txt_0.2.bz2;10144;25;73383997;20.8762;19.2205;0.924679;121966;combo
BPPC_4_0_3.txt_0.7.bz2;826;9;682641;7.0398;5.73987;0.825396;988;combo
BPPC_3_0_10.txt_0.9.bz2;456;5;1105;4.45917;3.16187;0.713004;55;combo
BPPC_3_0_5.txt_0.9.bz2;455;5;1272;4.36354;3.06378;0.707314;39;combo
BPPC_2_0_1.txt_0.3.bz2;1534;18;2809811;14.7866;13.2004;0.898979;3781;combo
BPPC_6_0_2.txt_0.8.bz2;2048;5;162;4.77198;3.27352;0.692051;2;combo
BPPC_7_0_5.txt_0.2.bz2;9764;26;143143637;19.3372;17.6902;0.918979;214231;combo
BPPC_8_0_9.txt_0.4.bz2;6481;16;32314162;12.5391;11.0216;0.88705;55375;combo
BPPC_1_0_9.txt_0.7.bz2;541;6;412;5.37239;3.85499;0.726917;1;combo
BPPC_8_0_3.txt_0.6.bz2;4123;10;243588;8.05266;6.6638;0.837782;334;combo
BPPC_3_0_4.txt_0.7.bz2;768;8;30636;6.83774;5.49911;0.812158;65;combo
