instance;weight;time;valid;
BPPC_6_0_5.txt_0.9;1476;0.000193119;1;
BPPC_5_0_8.txt_0.8;1454;0.000124931;1;
BPPC_4_0_6.txt_0.7;824;0.622461;1;
BPPC_1_0_9.txt_0.7;541;0.000406981;1;
BPPC_5_0_8.txt_0.5;2737;0.000244856;1;
BPPC_6_0_2.txt_0.8;2048;0.000256062;1;
BPPC_4_0_2.txt_0.1;0;0;0;
BPPC_7_0_8.txt_0.8;2382;0.00199699;1;
BPPC_8_0_2.txt_0.6;4125;0.39568;1;
BPPC_4_0_8.txt_0.4;0;0;0;
BPPC_3_0_6.txt_0.9;481;0.00197506;1;
BPPC_1_0_8.txt_0.1;2600;2.13839;1;
BPPC_4_0_7.txt_0.3;0;0;0;
BPPC_2_0_10.txt_0.3;1523;5.99325;1;
BPPC_4_0_1.txt_0.3;0;0;0;
BPPC_1_0_3.txt_0.1;2492;2.2081;1;
BPPC_4_0_5.txt_0.1;0;0;0;
BPPC_7_0_4.txt_0.6;3449;0.00827694;1;
BPPC_1_0_6.txt_0.5;774;0.00133181;1;
BPPC_5_0_9.txt_0.9;0;0;0;
BPPC_4_0_5.txt_0.7;851;1.32437;1;
BPPC_2_0_4.txt_0.1;0;0;0;
BPPC_8_0_1.txt_0.4;0;0;0;
BPPC_2_0_5.txt_0.9;388;0.000491858;1;
BPPC_6_0_5.txt_0.2;7626;0.173792;1;
BPPC_5_0_2.txt_0.8;1524;0.000115871;1;
BPPC_2_0_8.txt_0.6;793;0.00523615;1;
BPPC_4_0_4.txt_0.1;0;0;0;
BPPC_5_0_5.txt_0.3;4477;0.00107288;1;
BPPC_7_0_9.txt_0.5;4400;0.0613658;1;
BPPC_1_0_9.txt_0.9;340;0.000282049;1;
BPPC_2_0_1.txt_0.6;779;0.0121801;1;
BPPC_2_0_3.txt_0.8;527;0.00125217;1;
BPPC_2_0_2.txt_0.2;0;0;0;
BPPC_8_0_4.txt_0.1;0;0;0;
BPPC_1_0_3.txt_0.9;337;0.000236034;1;
BPPC_6_0_4.txt_0.9;1540;0.000137091;1;
BPPC_1_0_2.txt_0.8;448;0.000160217;1;
BPPC_5_0_1.txt_0.9;0;0;0;
BPPC_4_0_6.txt_0.4;0;0;0;
BPPC_2_0_8.txt_0.8;527;0.00216389;1;
BPPC_5_0_1.txt_0.5;2828;0.000467062;1;
BPPC_3_0_3.txt_0.6;943;0.305097;1;
BPPC_2_0_4.txt_0.5;998;0.0603931;1;
BPPC_4_0_2.txt_0.7;914;0.719822;1;
BPPC_6_0_3.txt_0.7;2444;0.000192881;1;
BPPC_1_0_9.txt_0.1;2680;1.67397;1;
BPPC_2_0_9.txt_0.5;965;0.0289021;1;
BPPC_3_0_4.txt_0.6;919;0.159208;1;
BPPC_6_0_6.txt_0.7;2267;0.000396013;1;
BPPC_4_0_3.txt_0.1;0;0;0;
BPPC_6_0_3.txt_0.5;3688;0.00297403;1;
BPPC_4_0_8.txt_0.2;0;0;0;
BPPC_6_0_5.txt_0.6;3116;0.00146294;1;
BPPC_4_0_4.txt_0.6;0;0;0;
BPPC_7_0_6.txt_0.7;3330;0.00144386;1;
BPPC_5_0_4.txt_0.9;0;0;0;
BPPC_1_0_1.txt_0.6;623;0.000713825;1;
BPPC_8_0_2.txt_0.9;2031;0.00142884;1;
BPPC_3_0_1.txt_0.9;449;0.000962019;1;
BPPC_7_0_4.txt_0.2;0;0;0;
BPPC_4_0_5.txt_0.9;499;0.0055182;1;
BPPC_3_0_7.txt_0.1;0;0;0;
BPPC_8_0_8.txt_0.6;4329;0.223452;1;
BPPC_7_0_10.txt_0.7;2851;0.00357604;1;
BPPC_8_0_1.txt_0.5;5063;3.65869;1;
BPPC_3_0_2.txt_0.5;1092;2.10503;1;
BPPC_1_0_3.txt_0.6;563;0.000449181;1;
BPPC_4_0_10.txt_0.1;0;0;0;
BPPC_5_0_9.txt_0.5;3015;0.000152826;1;
BPPC_1_0_7.txt_0.9;347;0.000127077;1;
BPPC_6_0_10.txt_0.5;3457;0.000996113;1;
BPPC_6_0_10.txt_0.3;5565;0.0148461;1;
BPPC_6_0_6.txt_0.6;2863;0.000420094;1;
BPPC_1_0_6.txt_0.7;500;0.000252962;1;
BPPC_3_0_6.txt_0.6;902;0.154584;1;
BPPC_4_0_6.txt_0.8;678;0.054462;1;
BPPC_3_0_9.txt_0.9;445;0.000939131;1;
BPPC_8_0_8.txt_0.5;5141;1.30589;1;
BPPC_6_0_8.txt_0.1;0;0;0;
BPPC_5_0_2.txt_0.5;2883;0.00037694;1;
BPPC_8_0_8.txt_0.3;0;0;0;
BPPC_2_0_9.txt_0.9;396;0.00109887;1;
BPPC_8_0_3.txt_0.6;4123;0.35174;1;
BPPC_1_0_1.txt_0.5;744;0.00312805;1;
BPPC_6_0_7.txt_0.2;7639;0.266204;1;
BPPC_6_0_6.txt_0.2;7829;0.208008;1;
BPPC_1_0_7.txt_0.1;2540;2.60048;1;
BPPC_7_0_2.txt_0.8;2286;0.000643015;1;
BPPC_6_0_8.txt_0.8;2055;0.00017786;1;
BPPC_3_0_5.txt_0.3;0;0;0;
BPPC_5_0_3.txt_0.2;6042;0.00201678;1;
BPPC_7_0_2.txt_0.6;3562;0.0154939;1;
BPPC_4_0_2.txt_0.3;0;0;0;
BPPC_8_0_4.txt_0.4;0;0;0;
BPPC_6_0_3.txt_0.3;5607;0.0119209;1;
BPPC_4_0_9.txt_0.9;490;0.00591993;1;
BPPC_8_0_5.txt_0.2;0;0;0;
BPPC_8_0_6.txt_0.3;0;0;0;
BPPC_5_0_5.txt_0.8;1710;0.000267029;1;
BPPC_8_0_5.txt_0.9;2163;0.00194383;1;
BPPC_7_0_1.txt_0.8;2295;0.001333;1;
BPPC_5_0_1.txt_0.3;4357;0.000946045;1;
BPPC_1_0_10.txt_0.7;534;0.000418901;1;
BPPC_2_0_4.txt_0.7;649;0.00194597;1;
BPPC_5_0_1.txt_0.4;3675;0.000305891;1;
BPPC_3_0_8.txt_0.5;1123;1.53491;1;
