instance;size;weight;valid;
c_BPPC_6_0_9.txt_0.3.dimacs;14;5546;1;
c_BPPC_7_0_7.txt_0.3.dimacs;19;6923;1;
c_BPPC_3_0_10.txt_0.2.dimacs;0;0;0;
c_BPPC_2_0_10.txt_0.4.dimacs;14;1191;1;
c_BPPC_8_0_3.txt_0.3.dimacs;0;0;0;
c_BPPC_1_0_8.txt_0.5.dimacs;9;743;1;
c_BPPC_3_0_2.txt_0.5.dimacs;12;1092;1;
c_BPPC_1_0_9.txt_0.4.dimacs;12;1035;1;
c_BPPC_1_0_1.txt_0.6.dimacs;7;623;1;
c_BPPC_5_0_5.txt_0.7.dimacs;5;2078;1;
c_BPPC_5_0_2.txt_0.5.dimacs;8;2883;1;
c_BPPC_2_0_10.txt_0.3.dimacs;17;1523;1;
c_BPPC_5_0_4.txt_0.3.dimacs;12;4455;1;
c_BPPC_4_0_8.txt_0.9.dimacs;5;504;1;
c_BPPC_3_0_10.txt_0.7.dimacs;8;690;1;
c_BPPC_1_0_6.txt_0.7.dimacs;6;500;1;
c_BPPC_2_0_6.txt_0.5.dimacs;11;991;1;
c_BPPC_5_0_2.txt_0.9.dimacs;4;1393;1;
c_BPPC_5_0_3.txt_0.8.dimacs;4;1656;1;
c_BPPC_7_0_9.txt_0.6.dimacs;9;3600;1;
c_BPPC_7_0_2.txt_0.6.dimacs;10;3562;1;
c_BPPC_7_0_9.txt_0.4.dimacs;14;5472;1;
c_BPPC_6_0_6.txt_0.5.dimacs;9;3682;1;
c_BPPC_8_0_3.txt_0.5.dimacs;12;5009;1;
c_BPPC_6_0_2.txt_0.3.dimacs;16;5653;1;
c_BPPC_2_0_7.txt_0.8.dimacs;6;498;1;
c_BPPC_6_0_2.txt_0.9.dimacs;4;1529;1;
c_BPPC_1_0_10.txt_0.2.dimacs;20;1676;1;
c_BPPC_1_0_9.txt_0.3.dimacs;14;1212;1;
c_BPPC_5_0_9.txt_0.7.dimacs;6;2157;1;
c_BPPC_4_0_7.txt_0.7.dimacs;9;882;1;
c_BPPC_6_0_10.txt_0.2.dimacs;20;7544;1;
c_BPPC_7_0_2.txt_0.3.dimacs;17;7088;1;
c_BPPC_6_0_9.txt_0.8.dimacs;5;1898;1;
c_BPPC_1_0_4.txt_0.1.dimacs;32;2545;1;
c_BPPC_7_0_8.txt_0.3.dimacs;18;6977;1;
c_BPPC_2_0_10.txt_0.8.dimacs;6;545;1;
c_BPPC_1_0_1.txt_0.4.dimacs;11;947;1;
c_BPPC_2_0_7.txt_0.5.dimacs;10;961;1;
c_BPPC_1_0_2.txt_0.2.dimacs;20;1570;1;
c_BPPC_8_0_6.txt_0.8.dimacs;7;2772;1;
c_BPPC_5_0_8.txt_0.5.dimacs;7;2737;1;
c_BPPC_5_0_1.txt_0.7.dimacs;5;2226;1;
