instance;weight;time;steps
BPPC_3_0_8.txt_0.2.bz2;220;0.000202894;13
BPPC_2_0_5.txt_0.6.bz2;200;0.000543118;124
BPPC_2_0_8.txt_0.7.bz2;200;0.000411034;106
BPPC_2_0_7.txt_0.2.bz2;220;3.19481e-05;7
BPPC_3_0_8.txt_0.6.bz2;210;0.00177217;99
BPPC_1_0_2.txt_0.5.bz2;200;0.000286102;34
BPPC_1_0_5.txt_0.5.bz2;200;0.000167847;91
BPPC_4_0_1.txt_0.7.bz2;210;0.00169802;132
BPPC_3_0_4.txt_0.1.bz2;220;9.67979e-05;13
BPPC_4_0_5.txt_0.2.bz2;220;0.000723124;13
BPPC_1_0_6.txt_0.9.bz2;180;0.00134802;47
BPPC_1_0_4.txt_0.2.bz2;210;0.000198126;8
BPPC_4_0_8.txt_0.9.bz2;199;0.00478005;415
BPPC_4_0_7.txt_0.7.bz2;210;0.00193715;312
BPPC_4_0_3.txt_0.6.bz2;210;0.00080204;113
BPPC_8_0_1.txt_0.6.bz2;1030;0.000618935;80
BPPC_5_0_9.txt_0.7.bz2;1030;0.000226021;18
BPPC_3_0_9.txt_0.1.bz2;220;0.000102997;12
BPPC_8_0_5.txt_0.2.bz2;1040;0;0
BPPC_7_0_2.txt_0.4.bz2;1030;0.000468016;108
BPPC_1_0_5.txt_0.2.bz2;210;0.000241995;20
BPPC_6_0_8.txt_0.4.bz2;1030;0.000355005;39
BPPC_3_0_8.txt_0.8.bz2;200;0.000609159;167
BPPC_8_0_2.txt_0.1.bz2;1040;0;0
BPPC_7_0_2.txt_0.5.bz2;1040;0.000491858;65
BPPC_6_0_4.txt_0.6.bz2;1030;0.000338078;69
BPPC_2_0_1.txt_0.1.bz2;220;0.000752926;7
BPPC_5_0_5.txt_0.3.bz2;1030;0.000113964;23
BPPC_3_0_4.txt_0.5.bz2;220;0.00030303;37
BPPC_2_0_7.txt_0.3.bz2;210;0.000243902;33
BPPC_3_0_9.txt_0.7.bz2;200;0.00127912;376
BPPC_8_0_4.txt_0.6.bz2;1030;0.000618935;87
BPPC_4_0_4.txt_0.5.bz2;220;0.00141811;314
BPPC_1_0_6.txt_0.5.bz2;200;0.000299931;36
BPPC_4_0_9.txt_0.5.bz2;220;0.000276089;8
BPPC_3_0_2.txt_0.3.bz2;220;7.00951e-05;10
BPPC_1_0_3.txt_0.8.bz2;186;0.000605822;105
BPPC_4_0_1.txt_0.9.bz2;190;0.00161409;781
BPPC_8_0_6.txt_0.7.bz2;1030;0.00121093;79
BPPC_3_0_5.txt_0.8.bz2;200;0.000879049;185
BPPC_5_0_3.txt_0.5.bz2;1030;0.000157118;30
BPPC_6_0_5.txt_0.7.bz2;1030;0.000308037;14
BPPC_8_0_7.txt_0.8.bz2;1030;0.000974894;61
BPPC_1_0_5.txt_0.6.bz2;200;0.000228882;26
BPPC_8_0_10.txt_0.7.bz2;1030;0.000674963;44
BPPC_8_0_5.txt_0.3.bz2;1040;0;0
BPPC_3_0_3.txt_0.1.bz2;220;0.000555992;13
BPPC_2_0_2.txt_0.2.bz2;210;0.00018692;17
BPPC_1_0_10.txt_0.9.bz2;180;0.000324011;57
BPPC_4_0_2.txt_0.7.bz2;210;0.00149798;187
BPPC_3_0_6.txt_0.2.bz2;220;0.000447989;12
BPPC_7_0_7.txt_0.1.bz2;1040;0;0
BPPC_2_0_4.txt_0.8.bz2;190;0.000702143;156
BPPC_8_0_7.txt_0.9.bz2;1030;0.000602961;7
BPPC_2_0_9.txt_0.4.bz2;210;0.000326872;9
BPPC_6_0_8.txt_0.8.bz2;1030;0.000741959;22
BPPC_5_0_10.txt_0.1.bz2;1030;0.000756025;54
BPPC_3_0_8.txt_0.1.bz2;220;0.000144958;13
BPPC_4_0_7.txt_0.6.bz2;220;0.00109887;35
BPPC_5_0_1.txt_0.5.bz2;1030;0.000133038;45
BPPC_2_0_4.txt_0.9.bz2;187;0.000252008;60
BPPC_7_0_7.txt_0.2.bz2;1040;0;0
BPPC_5_0_1.txt_0.1.bz2;1030;0.000319004;48
BPPC_3_0_10.txt_0.8.bz2;200;0.00102592;144
BPPC_6_0_5.txt_0.1.bz2;1030;0.000328064;78
BPPC_3_0_5.txt_0.5.bz2;210;0.00047183;23
BPPC_7_0_9.txt_0.7.bz2;1030;0.00026989;36
BPPC_1_0_3.txt_0.7.bz2;199;0.000289917;77
BPPC_8_0_6.txt_0.6.bz2;1030;0.00130892;113
BPPC_7_0_10.txt_0.4.bz2;1030;0.000830889;92
BPPC_1_0_6.txt_0.4.bz2;209;0.00029397;18
BPPC_3_0_5.txt_0.1.bz2;220;0.000165224;7
BPPC_3_0_1.txt_0.6.bz2;210;0.00113702;47
BPPC_6_0_4.txt_0.2.bz2;1030;0.000840187;62
BPPC_8_0_3.txt_0.8.bz2;1030;0.000745058;25
BPPC_4_0_10.txt_0.6.bz2;220;0.00106502;43
BPPC_4_0_7.txt_0.3.bz2;220;0.00301385;14
BPPC_8_0_10.txt_0.5.bz2;1040;0.00248909;107
BPPC_2_0_10.txt_0.6.bz2;207;0.000942945;141
BPPC_5_0_10.txt_0.8.bz2;1029;7.79629e-05;47
BPPC_6_0_3.txt_0.3.bz2;1040;0;0
BPPC_6_0_7.txt_0.4.bz2;1030;0.000497818;49
BPPC_3_0_3.txt_0.4.bz2;220;0.000311852;27
BPPC_6_0_6.txt_0.5.bz2;1030;0.00129199;26
BPPC_5_0_4.txt_0.8.bz2;1029;6.69956e-05;37
BPPC_1_0_9.txt_0.2.bz2;210;0.00026083;14
BPPC_2_0_10.txt_0.2.bz2;210;0.000166893;18
BPPC_2_0_9.txt_0.3.bz2;210;6.50883e-05;7
BPPC_7_0_8.txt_0.6.bz2;1030;0.00029397;36
BPPC_4_0_4.txt_0.1.bz2;220;0.000244141;16
BPPC_6_0_1.txt_0.4.bz2;1030;0.000468016;49
BPPC_8_0_2.txt_0.3.bz2;1030;0.00183082;171
BPPC_2_0_10.txt_0.1.bz2;220;9.20296e-05;8
BPPC_3_0_8.txt_0.3.bz2;220;0.000274181;7
BPPC_8_0_8.txt_0.2.bz2;1040;0;0
BPPC_1_0_7.txt_0.7.bz2;198;0.000324965;50
BPPC_8_0_1.txt_0.8.bz2;1040;0.000633955;30
BPPC_8_0_4.txt_0.4.bz2;1040;0.00108981;136
BPPC_1_0_6.txt_0.3.bz2;210;0.000256062;12
BPPC_8_0_8.txt_0.6.bz2;1040;0.00103807;75
BPPC_8_0_1.txt_0.7.bz2;1040;0.000675917;44
BPPC_7_0_4.txt_0.9.bz2;1030;0.000408173;62
BPPC_8_0_8.txt_0.7.bz2;1040;0.000681877;55
BPPC_8_0_5.txt_0.5.bz2;1030;0.000767946;101
BPPC_2_0_3.txt_0.6.bz2;200;0.000486851;92
BPPC_5_0_9.txt_0.4.bz2;1030;0.000330925;25
BPPC_6_0_6.txt_0.4.bz2;1030;0.000203848;48
BPPC_3_0_7.txt_0.6.bz2;210;0.000494957;117
BPPC_6_0_4.txt_0.5.bz2;1030;0.000340939;29
BPPC_5_0_8.txt_0.7.bz2;1030;9.41753e-05;30
BPPC_5_0_2.txt_0.1.bz2;1030;0.00120783;71
BPPC_1_0_9.txt_0.5.bz2;200;0.000767946;14
BPPC_2_0_9.txt_0.7.bz2;199;0.000956059;69
BPPC_5_0_6.txt_0.1.bz2;1030;0.00103688;46
BPPC_5_0_9.txt_0.1.bz2;1030;0.000251055;55
BPPC_4_0_8.txt_0.1.bz2;220;0.000168085;16
BPPC_8_0_4.txt_0.8.bz2;1030;0.000450134;27
BPPC_6_0_7.txt_0.2.bz2;1030;0.000353813;74
BPPC_3_0_9.txt_0.8.bz2;200;0.000691891;188
BPPC_4_0_10.txt_0.1.bz2;220;0.00019002;16
BPPC_4_0_10.txt_0.3.bz2;220;0.000344038;12
BPPC_7_0_3.txt_0.4.bz2;1030;0.000494003;92
BPPC_3_0_4.txt_0.6.bz2;210;0.000546932;56
BPPC_2_0_9.txt_0.1.bz2;210;0.000165224;18
BPPC_3_0_8.txt_0.4.bz2;220;0.000322104;26
BPPC_5_0_4.txt_0.1.bz2;1030;0.00018096;49
BPPC_7_0_1.txt_0.1.bz2;1040;0;0
BPPC_4_0_6.txt_0.5.bz2;220;0.000808954;62
BPPC_8_0_8.txt_0.1.bz2;1040;0;0
BPPC_6_0_4.txt_0.9.bz2;1029;0.000228167;61
BPPC_4_0_8.txt_0.8.bz2;200;0.00487304;554
BPPC_4_0_1.txt_0.4.bz2;220;0.000123978;11
BPPC_2_0_8.txt_0.4.bz2;210;0.000130177;8
BPPC_5_0_8.txt_0.3.bz2;1030;0.000146866;37
BPPC_5_0_2.txt_0.2.bz2;1030;0.00105;62
BPPC_7_0_9.txt_0.4.bz2;1030;0.00168395;87
BPPC_3_0_9.txt_0.9.bz2;190;0.00213599;175
BPPC_5_0_6.txt_0.6.bz2;1030;0.000110865;29
BPPC_6_0_10.txt_0.2.bz2;1040;0;0
BPPC_6_0_1.txt_0.9.bz2;1030;0.00011301;44
BPPC_8_0_8.txt_0.3.bz2;1040;0;0
BPPC_5_0_8.txt_0.6.bz2;1030;0.0003438;29
BPPC_6_0_1.txt_0.7.bz2;1030;0.000301123;22
BPPC_2_0_2.txt_0.9.bz2;184;0.000378132;130
BPPC_4_0_8.txt_0.3.bz2;220;0.000663042;9
BPPC_5_0_10.txt_0.3.bz2;1030;0.00030899;45
BPPC_6_0_6.txt_0.6.bz2;1030;0.000333071;28
BPPC_2_0_5.txt_0.9.bz2;185;0.000247955;78
BPPC_6_0_8.txt_0.7.bz2;1030;0.00110793;34
BPPC_4_0_2.txt_0.1.bz2;220;0.000569105;16
BPPC_6_0_2.txt_0.7.bz2;1030;0.000148058;40
BPPC_4_0_10.txt_0.8.bz2;200;0.0038588;850
BPPC_1_0_8.txt_0.4.bz2;200;0.000608921;18
BPPC_6_0_5.txt_0.8.bz2;1030;0.000519991;18
BPPC_3_0_6.txt_0.9.bz2;190;0.00143313;194
BPPC_8_0_3.txt_0.3.bz2;1040;0.00106096;144
BPPC_7_0_7.txt_0.7.bz2;1030;0.000409842;35
BPPC_6_0_7.txt_0.5.bz2;1030;0.000714064;41
BPPC_7_0_1.txt_0.5.bz2;1040;0;0
BPPC_3_0_6.txt_0.3.bz2;220;0.0004251;9
BPPC_1_0_8.txt_0.6.bz2;190;0.000164986;61
BPPC_3_0_7.txt_0.2.bz2;220;0.000221014;9
BPPC_3_0_2.txt_0.2.bz2;220;0.00048995;11
BPPC_2_0_3.txt_0.4.bz2;220;0.000180006;40
BPPC_5_0_3.txt_0.3.bz2;1030;0.000335932;30
BPPC_3_0_4.txt_0.2.bz2;220;0.000174999;10
BPPC_8_0_7.txt_0.5.bz2;1030;0.0011189;98
BPPC_8_0_1.txt_0.9.bz2;1030;0.00194001;12
BPPC_6_0_6.txt_0.7.bz2;1030;0.000142097;26
BPPC_4_0_4.txt_0.3.bz2;220;0.00098896;10
BPPC_2_0_4.txt_0.6.bz2;200;0.000216961;107
BPPC_7_0_1.txt_0.2.bz2;1040;0;0
BPPC_6_0_2.txt_0.2.bz2;1030;0.000267029;59
BPPC_1_0_2.txt_0.1.bz2;210;0.000444889;14
BPPC_3_0_10.txt_0.3.bz2;220;0.000819921;12
BPPC_1_0_6.txt_0.1.bz2;210;0.000143051;18
BPPC_8_0_9.txt_0.2.bz2;1040;0;0
BPPC_4_0_1.txt_0.1.bz2;220;0.000635147;16
BPPC_7_0_2.txt_0.7.bz2;1030;0.000269175;37
BPPC_8_0_2.txt_0.7.bz2;1030;0.00301814;43
BPPC_4_0_9.txt_0.9.bz2;192;0.00241899;1107
BPPC_5_0_8.txt_0.5.bz2;1030;0.000654936;24
BPPC_4_0_8.txt_0.4.bz2;220;0.000236988;12
BPPC_6_0_7.txt_0.3.bz2;1030;0.000634909;56
BPPC_6_0_9.txt_0.3.bz2;1030;0.000282049;69
BPPC_2_0_8.txt_0.8.bz2;190;0.00115585;84
BPPC_7_0_9.txt_0.5.bz2;1040;0;0
BPPC_5_0_6.txt_0.4.bz2;1030;0.000876188;23
BPPC_7_0_9.txt_0.9.bz2;1030;0.000405073;37
BPPC_6_0_9.txt_0.7.bz2;1030;0.00031209;42
BPPC_3_0_6.txt_0.7.bz2;207;0.00118303;184
BPPC_2_0_1.txt_0.8.bz2;190;0.000426054;168
BPPC_6_0_10.txt_0.5.bz2;1030;0.00247407;38
BPPC_7_0_10.txt_0.5.bz2;1030;0.00144982;62
BPPC_8_0_9.txt_0.9.bz2;1030;0.000668049;63
BPPC_4_0_4.txt_0.2.bz2;220;0.000272036;15
BPPC_8_0_6.txt_0.1.bz2;1040;0;0
BPPC_2_0_7.txt_0.4.bz2;210;2.98023e-05;2
