instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_8_0_9.txt_0.9.bz2;2060;5;1415;0;4.30511;2.19981;0.490709;38
BPPC_4_0_7.txt_0.6.bz2;993;11;8764550;0;8.55148;6.32484;0.739331;15464
BPPC_1_0_8.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_10.txt_0.9.bz2;1189;3;43;0;3.6191;1.34686;0.37645;0
BPPC_6_0_3.txt_0.2.bz2;7652;21;61169;0;16.8618;14.5419;0.86323;91
BPPC_3_0_1.txt_0.7.bz2;727;8;35990;0;6.66051;4.48912;0.667365;76
BPPC_8_0_8.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_5.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_1.txt_0.8.bz2;562;6;8355;0;5.38174;3.24842;0.598929;46
BPPC_7_0_5.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_6.txt_0.6.bz2;3675;9;9801;0;7.58996;5.37679;0.705253;15
BPPC_4_0_7.txt_0.5.bz2;1273;14;149281845;0;11.0274;8.75874;0.796237;354863
BPPC_6_0_10.txt_0.7.bz2;2341;6;457;0;5.33098;3.12621;0.577347;1
BPPC_7_0_7.txt_0.7.bz2;2862;7;3466;0;6.06617;3.89411;0.636885;9
BPPC_6_0_9.txt_0.7.bz2;2334;6;403;0;5.39384;3.16734;0.581351;1
BPPC_4_0_8.txt_0.5.bz2;1273;14;163440311;0;10.9124;8.64391;0.794101;381902
BPPC_8_0_4.txt_0.7.bz2;3395;8;29198;0;6.96304;4.7971;0.683528;74
BPPC_4_0_2.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_3_0_10.txt_0.5.bz2;1106;12;2229366;0;9.86579;7.59966;0.771694;3912
BPPC_8_0_4.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_4.txt_0.6.bz2;609;7;1138;0;6.11807;3.9014;0.630122;1
BPPC_2_0_10.txt_0.8.bz2;545;6;885;0;5.11545;2.9359;0.561468;8
BPPC_8_0_2.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_5.txt_0.5.bz2;5012;12;2286475;0;9.78905;7.52441;0.770064;4003
BPPC_6_0_6.txt_0.1.bz2;10330;33;127992954;2361404;11.4269;9.3129;0.755144;63684
BPPC_1_0_5.txt_0.7.bz2;534;6;384;0;5.42498;3.22773;0.585668;2
BPPC_8_0_2.txt_0.8.bz2;2658;6;8004;0;5.43624;3.30268;0.603161;56
BPPC_1_0_4.txt_0.3.bz2;1283;13;12111;0;12.3753;10.0556;0.809879;15
BPPC_6_0_5.txt_0.9.bz2;1476;4;126;0;3.73466;1.601;0.422499;1
BPPC_7_0_9.txt_0.9.bz2;1740;4;359;0;4.15036;2.02447;0.47256;8
BPPC_8_0_4.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_4_0_2.txt_0.5.bz2;1284;13;159870063;0;10.9155;8.64726;0.794188;380616
BPPC_7_0_3.txt_0.3.bz2;7694;20;2422531;0;14.7902;12.4599;0.844464;4322
BPPC_5_0_7.txt_0.5.bz2;2839;8;272;0;6.22044;3.90228;0.616728;0
BPPC_5_0_5.txt_0.4.bz2;3477;9;314;0;7.77756;5.40019;0.684177;0
BPPC_2_0_2.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_10.txt_0.8.bz2;2328;6;1078;0;4.97534;2.81619;0.554916;8
BPPC_6_0_5.txt_0.7.bz2;2640;7;256;0;5.73558;3.44071;0.585962;1
BPPC_3_0_7.txt_0.4.bz2;1446;15;30748742;0;12.6844;10.3762;0.820487;65299
BPPC_4_0_8.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_5_0_4.txt_0.7.bz2;1904;5;77;0;4.74118;2.4317;0.505749;0
BPPC_5_0_4.txt_0.3.bz2;4455;12;629;0;9.42451;7.09497;0.744305;0
BPPC_7_0_5.txt_0.6.bz2;3465;8;13523;0;7.17568;4.95602;0.687908;18
BPPC_1_0_7.txt_0.5.bz2;762;9;2315;0;7.44735;5.19469;0.690759;5
BPPC_1_0_10.txt_0.7.bz2;534;6;346;0;5.51739;3.29995;0.590204;1
BPPC_5_0_6.txt_0.6.bz2;2336;6;143;0;5.45634;3.09175;0.552617;0
BPPC_7_0_8.txt_0.9.bz2;1743;4;308;0;4.21796;2.12248;0.487206;7
BPPC_6_0_3.txt_0.3.bz2;5607;14;22924;0;12.0357;9.71574;0.808859;25
BPPC_6_0_3.txt_0.4.bz2;4233;11;6426;0;9.24951;6.98517;0.753805;6
BPPC_2_0_5.txt_0.8.bz2;519;6;1029;0;4.99433;2.83344;0.556035;9
BPPC_1_0_6.txt_0.8.bz2;449;5;142;0;4.91851;2.56083;0.513824;1
BPPC_6_0_8.txt_0.6.bz2;3105;7;739;0;6.5538;4.30042;0.649417;1
BPPC_7_0_2.txt_0.8.bz2;2286;6;1204;0;4.85426;2.70508;0.544737;7
BPPC_3_0_8.txt_0.3.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_1_0_10.txt_0.4.bz2;939;11;4556;0;9.9181;7.62722;0.768378;6
BPPC_6_0_10.txt_0.6.bz2;3072;8;849;0;6.56187;4.33866;0.657118;3
BPPC_1_0_2.txt_0.1.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_7_0_2.txt_0.7.bz2;3088;7;2423;0;6.45948;4.26578;0.657427;9
