class,mult,type,density,weight,nodes,time,algo,time_limit
C,1,7,0.1,1040,0,0,CFS,600
C,1,3,0.2,220,10,5.0211e-4,CFS,600
C,1,5,0.2,1030,50,6.71864e-4,CFS,600
C,1,4,0.5,220,19,1.23978e-4,CFS,600
C,1,7,0.4,1030,99,8.97884e-4,CFS,600
C,1,2,0.5,210,21,5.00917e-4,CFS,600
C,1,1,0.4,210,18,6.77109e-4,CFS,600
C,1,3,0.3,220,8,2.00987e-4,CFS,600
C,1,3,0.7,200,374,7.41005e-4,CFS,600
C,1,7,0.2,1040,0,0,CFS,600
C,1,6,0.1,1040,0,0,CFS,600
C,1,4,0.3,220,10,1.44005e-4,CFS,600
C,1,3,0.4,220,61,3.26157e-4,CFS,600
C,1,2,0.6,200,29,7.86066e-4,CFS,600
C,1,5,0.7,1030,35,9.08375e-5,CFS,600
C,1,2,0.9,182,97,2.72989e-4,CFS,600
C,1,3,0.5,210,23,3.19004e-4,CFS,600
C,1,7,0.3,1040,0,0,CFS,600
C,1,4,0.4,220,7,3.77893e-4,CFS,600
C,1,1,0.6,199,78,6.63996e-4,CFS,600
C,1,7,0.4,1030,75,0.00232911,CFS,600
C,1,1,0.7,190,92,3.1805e-4,CFS,600
C,1,3,0.6,210,141,0.00192595,CFS,600
C,1,4,0.9,190,596,0.00150394,CFS,600
C,1,5,0.4,1030,25,7.86066e-4,CFS,600
C,1,4,0.6,210,541,0.00618505,CFS,600
C,1,4,0.7,210,182,8.71897e-4,CFS,600
C,1,5,0.3,1030,31,4.35114e-4,CFS,600
C,1,4,0.5,220,71,8.74043e-4,CFS,600
C,1,7,0.8,1030,77,2.62976e-4,CFS,600
C,1,1,0.7,190,110,5.09977e-4,CFS,600
C,1,5,0.3,1030,48,1.73807e-4,CFS,600
C,1,1,0.7,200,28,1.04904e-4,CFS,600
C,1,7,0.7,1030,36,0.00125408,CFS,600
C,1,5,0.5,1030,14,9.799e-5,CFS,600
C,1,4,0.7,210,150,0.00122809,CFS,600
C,1,5,0.8,1029,38,4.90904e-4,CFS,600
C,1,2,0.9,190,34,2.70844e-4,CFS,600
C,1,4,0.3,220,11,1.35899e-4,CFS,600
C,1,4,0.9,190,948,0.00195599,CFS,600
C,1,8,0.2,1040,0,0,CFS,600
C,1,1,0.9,180,23,2.01941e-4,CFS,600
C,1,1,0.9,180,25,1.30177e-4,CFS,600
C,1,1,0.5,200,12,2.141e-4,CFS,600
C,1,5,0.4,1030,31,3.13997e-4,CFS,600
C,1,1,0.9,180,24,1.12057e-4,CFS,600
C,1,5,0.4,1030,33,8.18014e-4,CFS,600
C,1,3,0.6,210,63,7.71046e-4,CFS,600
C,1,5,0.9,1019,13,7.58171e-5,CFS,600
C,1,8,0.5,1040,0,0,CFS,600
C,1,6,0.1,1030,88,5.3215e-4,CFS,600
C,1,8,0.4,1040,117,0.001122,CFS,600
C,1,6,0.2,1030,70,3.60966e-4,CFS,600
C,1,2,0.8,190,145,4.32014e-4,CFS,600
C,1,3,0.6,210,114,0.00199199,CFS,600
C,1,1,0.6,190,131,1.85966e-4,CFS,600
C,1,1,0.8,189,56,1.44005e-4,CFS,600
C,1,2,0.8,190,205,5.35965e-4,CFS,600
C,1,6,0.8,1030,27,1.37806e-4,CFS,600
C,1,2,0.1,220,7,3.69549e-5,CFS,600
C,1,6,0.9,1028,70,1.23024e-4,CFS,600
C,1,2,0.5,210,28,3.77178e-4,CFS,600
C,1,6,0.1,1030,78,4.48942e-4,CFS,600
C,1,8,0.1,1040,0,0,CFS,600
C,1,4,0.4,220,9,2.64883e-4,CFS,600
C,1,2,0.8,200,58,0.00281596,CFS,600
C,1,6,0.6,1030,21,1.52826e-4,CFS,600
C,1,2,0.5,209,85,3.34978e-4,CFS,600
C,1,6,0.8,1030,109,0.00108385,CFS,600
C,1,6,0.9,1030,36,3.31879e-4,CFS,600
C,1,4,0.1,220,16,5.26905e-4,CFS,600
C,1,3,0.4,210,27,3.0899e-4,CFS,600
C,1,8,0.7,1030,59,0.00217199,CFS,600
C,1,6,0.3,1030,57,0.00168419,CFS,600
C,1,2,0.9,184,98,2.74897e-4,CFS,600
C,1,1,0.6,200,29,3.03984e-4,CFS,600
C,1,4,0.4,220,12,5.30958e-4,CFS,600
C,1,7,0.6,1040,45,0.00119281,CFS,600
C,1,3,0.2,220,9,2.31981e-4,CFS,600
C,1,7,0.7,1030,49,5.28812e-4,CFS,600
C,1,7,0.5,1030,58,3.50952e-4,CFS,600
C,1,8,0.9,1030,43,4.32968e-4,CFS,600
C,1,6,0.4,1040,38,7.01904e-4,CFS,600
C,1,1,0.6,200,13,0.0010891,CFS,600
C,1,8,0.3,1040,0,0,CFS,600
C,1,7,0.9,1030,46,2.17199e-4,CFS,600
C,1,1,0.4,200,37,3.25918e-4,CFS,600
C,1,3,0.1,220,13,5.81026e-4,CFS,600
C,1,7,0.3,1030,89,4.54187e-4,CFS,600
C,1,6,0.8,1030,46,3.81947e-4,CFS,600
C,1,8,0.5,1040,0,0,CFS,600
C,1,7,0.5,1030,59,3.50952e-4,CFS,600
