instance;weight;size;nodes;n_cut_weight;avg_cc;avg_min_k;avg_ratio;time
BPPC_7_0_2.txt_0.8.bz2;1030;3;23394;12913;4.06983;1.09942;0.305747;8
BPPC_8_0_6.txt_0.9.bz2;1030;3;21164;9490;3.70153;1.09625;0.323049;44
BPPC_1_0_9.txt_0.9.bz2;186;4;459;147;3.85091;1.1587;0.322868;3
BPPC_4_0_1.txt_0.2.bz2;0;0;0;0;0.0;0.0;0.0;0
BPPC_8_0_2.txt_0.9.bz2;1030;3;21344;9749;3.73831;1.10217;0.322184;44
BPPC_1_0_4.txt_0.1.bz2;210;6;2086385;1880725;36.0933;1.85581;0.120136;105
BPPC_6_0_4.txt_0.4.bz2;1030;3;242625;210591;11.4131;1.04519;0.144582;14
BPPC_2_0_2.txt_0.7.bz2;200;5;59666;38197;6.47408;1.21382;0.272138;15
BPPC_1_0_2.txt_0.3.bz2;210;6;176381;142235;17.0081;1.81251;0.212567;19
BPPC_8_0_8.txt_0.5.bz2;1040;4;21531429;20199833;27.6642;1.08643;0.0871644;1778
BPPC_7_0_3.txt_0.3.bz2;1040;4;9447577;8988424;33.0232;1.08233;0.0593605;585
BPPC_7_0_5.txt_0.9.bz2;1030;3;2569;844;3.50812;1.15146;0.338318;10
BPPC_4_0_9.txt_0.6.bz2;220;7;39698879;31488537;22.3702;1.73134;0.254767;7084
BPPC_3_0_9.txt_0.6.bz2;210;6;2586446;1966745;9.03968;1.58595;0.300523;410
BPPC_6_0_9.txt_0.2.bz2;1030;3;1233544;1158706;25.8418;1.03444;0.0655381;54
BPPC_1_0_3.txt_0.3.bz2;210;6;380962;304420;14.1016;2.3207;0.287288;38
BPPC_5_0_5.txt_0.2.bz2;1030;3;76092;67192;14.2842;1.11814;0.121259;3
BPPC_2_0_2.txt_0.5.bz2;210;6;676676;524632;11.841;1.60712;0.251055;76
BPPC_5_0_6.txt_0.2.bz2;1030;3;85866;76242;15.0915;1.04983;0.104652;3
BPPC_8_0_5.txt_0.8.bz2;1030;3;241486;156537;4.86011;1.06005;0.285009;66
BPPC_7_0_6.txt_0.2.bz2;1040;4;22185566;21486499;50.1121;1.02605;0.032785;1171
BPPC_4_0_6.txt_0.9.bz2;190;4;134052;76937;5.21933;1.09944;0.292467;180
BPPC_1_0_9.txt_0.6.bz2;196;5;13911;9201;5.9938;1.25506;0.275211;2
BPPC_7_0_6.txt_0.8.bz2;1030;3;23780;13275;4.4949;1.09913;0.290133;9
BPPC_5_0_8.txt_0.4.bz2;1030;3;18743;14664;7.81198;1.06744;0.184259;2
