instance,lp2
R15/BPPC_1_0_1.txt_0.3.bz2,4502.019578108489
R15/BPPC_1_0_1.txt_0.4.bz2,4493.847292173329
R15/BPPC_1_0_1.txt_0.5.bz2,3987.803692363155
R15/BPPC_1_0_1.txt_0.6.bz2,4036.453904364755
R15/BPPC_1_0_1.txt_0.7.bz2,3980.304344520732
R15/BPPC_1_0_1.txt_0.8.bz2,3313.2814955551303
R15/BPPC_1_0_1.txt_0.9.bz2,3551.745226951528
R15/BPPC_4_0_1.txt_0.1.bz2,25204.31617380972
R15/BPPC_4_0_1.txt_0.2.bz2,24998.686413484917
R15/BPPC_4_0_1.txt_0.3.bz2,24389.83349072048
R15/BPPC_4_0_1.txt_0.4.bz2,24659.853013376756
R15/BPPC_4_0_1.txt_0.5.bz2,23844.402893222097
R15/BPPC_4_0_1.txt_0.6.bz2,23590.52957723871
R15/BPPC_4_0_1.txt_0.7.bz2,24733.00290929032
R15/BPPC_4_0_1.txt_0.8.bz2,23795.0508497456
R15/BPPC_4_0_1.txt_0.9.bz2,22763.528322935017
R15/BPPC_5_0_1.txt_0.1.bz2,2585.3669314454496
R15/BPPC_5_0_1.txt_0.2.bz2,2239.255749780164
R15/BPPC_5_0_1.txt_0.3.bz2,2241.548304779367
R15/BPPC_5_0_1.txt_0.4.bz2,2260.725469297442
R15/BPPC_5_0_1.txt_0.5.bz2,2094.2292400520914
R15/BPPC_5_0_1.txt_0.6.bz2,1854.1014650663028
R15/BPPC_5_0_1.txt_0.7.bz2,2012.6820987833191
R15/BPPC_5_0_1.txt_0.8.bz2,1813.5821217793064
R15/BPPC_5_0_1.txt_0.9.bz2,1704.5166838516789
R15/BPPC_8_0_1.txt_0.1.bz2,5020.950542736154
R15/BPPC_8_0_1.txt_0.2.bz2,4914.48469689361
R15/BPPC_8_0_1.txt_0.3.bz2,5148.733318338711
R15/BPPC_8_0_1.txt_0.4.bz2,5054.441843498558
R15/BPPC_8_0_1.txt_0.5.bz2,5084.045956893487
R15/BPPC_8_0_1.txt_0.6.bz2,5040.572328659768
R15/BPPC_8_0_1.txt_0.7.bz2,4891.9770371587965
R15/BPPC_8_0_1.txt_0.8.bz2,5034.35442238657
R15/BPPC_8_0_1.txt_0.9.bz2,4794.927719901396
R1/BPPC_1_0_1.txt_0.1.bz2,413.79884164430007
R1/BPPC_1_0_1.txt_0.2.bz2,475.4342385208397
R1/BPPC_1_0_1.txt_0.3.bz2,427.3359492945843
R1/BPPC_1_0_1.txt_0.4.bz2,462.6937652972604
R1/BPPC_1_0_1.txt_0.5.bz2,501.16033423114453
R1/BPPC_1_0_1.txt_0.6.bz2,470.7354040096828
R1/BPPC_1_0_1.txt_0.7.bz2,463.47836332427687
R1/BPPC_1_0_1.txt_0.8.bz2,451.3901730562876
R1/BPPC_1_0_1.txt_0.9.bz2,475.0788863882225
R1/BPPC_4_0_1.txt_0.1.bz2,672.416382413283
R1/BPPC_4_0_1.txt_0.2.bz2,635.1838188621525
R1/BPPC_4_0_1.txt_0.3.bz2,656.3575565127819
R1/BPPC_4_0_1.txt_0.4.bz2,650.2418640344458
R1/BPPC_4_0_1.txt_0.5.bz2,632.9842446848727
R1/BPPC_4_0_1.txt_0.6.bz2,652.1565806395868
R1/BPPC_4_0_1.txt_0.7.bz2,689.5535321731543
R1/BPPC_4_0_1.txt_0.8.bz2,665.0268563338183
R1/BPPC_4_0_1.txt_0.9.bz2,662.8497541608795
R1/BPPC_5_0_1.txt_0.1.bz2,361.660696517413
R1/BPPC_5_0_1.txt_0.2.bz2,347.5353159851301
R1/BPPC_5_0_1.txt_0.3.bz2,351.1033245635015
R1/BPPC_5_0_1.txt_0.4.bz2,351.2090022866506
R1/BPPC_5_0_1.txt_0.5.bz2,359.2565515802257
R1/BPPC_5_0_1.txt_0.6.bz2,364.6958366639894
R1/BPPC_5_0_1.txt_0.7.bz2,365.3407587377366
R1/BPPC_5_0_1.txt_0.8.bz2,338.18318450213445
R1/BPPC_5_0_1.txt_0.9.bz2,344.80269781595206
R1/BPPC_8_0_1.txt_0.1.bz2,391.25779283219913
R1/BPPC_8_0_1.txt_0.2.bz2,377.6176743114081
R1/BPPC_8_0_1.txt_0.3.bz2,383.72687758701784
R1/BPPC_8_0_1.txt_0.4.bz2,390.19187762906313
R1/BPPC_8_0_1.txt_0.5.bz2,387.9794931389157
R1/BPPC_8_0_1.txt_0.6.bz2,389.6432101713127
