instance,profit,LBi,UBi,h1,h2,nodes,ub_l2_cuts,ub_mt_cuts,ub_p_cuts,valid
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_1.txt_0.9.bz2,190,190,200,190,128,8,3,0,23,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.4.bz2,220,220,0,220,220,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.5.bz2,210,210,0,210,210,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.6.bz2,207,204,210,204,187,223,683,19,100,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.7.bz2,200,199,210,199,130,217,650,95,150,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.8.bz2,194,190,210,190,164,159,515,19,100,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_10.txt_0.9.bz2,182,180,200,180,126,182,531,2,92,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.1.bz2,210,210,0,210,187,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.2.bz2,210,210,0,210,193,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.3.bz2,210,210,0,210,195,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.4.bz2,210,210,0,210,201,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.5.bz2,210,209,210,209,171,12,35,7,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.6.bz2,209,209,210,209,177,23,18,7,18,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.7.bz2,200,200,210,200,128,34,67,0,9,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.8.bz2,195,195,210,195,157,99,224,24,46,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_2.txt_0.9.bz2,184,180,200,180,153,135,423,15,102,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.1.bz2,220,220,0,220,211,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.2.bz2,220,220,0,220,213,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.3.bz2,220,218,220,218,193,51,119,1,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.4.bz2,220,217,220,217,195,9,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.5.bz2,210,210,220,210,160,6,4,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.6.bz2,200,200,210,200,161,175,828,1,21,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.7.bz2,200,198,210,198,197,144,890,10,53,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.8.bz2,190,189,210,189,171,274,1867,10,88,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_3.txt_0.9.bz2,184,184,200,184,60,143,425,16,78,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.2.bz2,210,210,0,210,187,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.1.bz2,210,210,0,210,188,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.3.bz2,210,210,0,210,189,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.4.bz2,210,210,0,210,171,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.5.bz2,208,208,210,208,177,124,441,3,32,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.6.bz2,200,200,210,200,170,225,877,0,8,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.7.bz2,200,200,210,200,181,27,61,0,14,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.9.bz2,187,187,200,187,104,73,139,31,28,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.1.bz2,220,220,0,220,213,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.2.bz2,220,220,0,220,213,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_4.txt_0.8.bz2,190,190,210,190,142,200,858,0,58,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.3.bz2,217,217,220,217,189,19,25,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.4.bz2,220,220,0,220,184,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.5.bz2,209,200,210,200,170,202,1351,148,249,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.6.bz2,200,200,210,200,142,225,1000,2,12,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.7.bz2,199,199,210,199,152,340,1144,286,303,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.8.bz2,190,190,210,190,122,223,1237,1,50,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.1.bz2,210,210,0,210,188,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_5.txt_0.9.bz2,185,185,200,185,118,111,295,22,60,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.2.bz2,210,210,0,210,191,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.3.bz2,210,210,0,210,193,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.4.bz2,210,210,0,210,210,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.5.bz2,210,208,210,208,175,26,58,2,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.6.bz2,200,200,210,200,181,86,359,0,7,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.7.bz2,200,200,210,200,160,31,74,0,4,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.8.bz2,190,189,210,189,100,261,1685,5,53,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_6.txt_0.9.bz2,182,180,200,180,105,202,667,0,96,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.1.bz2,220,220,0,220,216,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.2.bz2,220,220,0,220,219,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.4.bz2,210,210,220,210,210,1,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.3.bz2,210,210,220,210,196,2,1,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.5.bz2,210,206,220,206,173,13,172,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.6.bz2,200,200,210,200,176,174,788,0,14,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.7.bz2,200,198,210,198,177,206,664,46,115,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.8.bz2,200,200,207,200,102,1,0,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.1.bz2,220,220,0,220,219,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.2.bz2,210,210,0,210,188,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_7.txt_0.9.bz2,180,179,200,179,110,243,954,0,76,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.3.bz2,210,210,0,210,197,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.4.bz2,210,210,0,210,196,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.5.bz2,210,208,210,208,161,12,35,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.6.bz2,209,209,210,209,202,23,34,4,9,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.7.bz2,200,200,210,200,185,14,25,0,12,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.8.bz2,190,190,210,190,129,200,692,0,41,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_8.txt_0.9.bz2,180,180,200,180,166,192,631,0,69,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.1.bz2,210,210,0,210,194,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.2.bz2,210,210,0,210,193,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.3.bz2,210,210,0,210,197,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.4.bz2,210,210,0,210,199,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.5.bz2,200,200,210,200,180,14,18,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.6.bz2,200,200,210,200,177,1,0,0,2,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.7.bz2,199,190,200,190,156,129,515,62,90,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.8.bz2,190,190,200,190,103,73,192,0,6,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_2_0_9.txt_0.9.bz2,184,181,200,181,178,118,398,17,58,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.6.bz2,210,210,0,210,171,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.3.bz2,220,220,0,220,219,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.5.bz2,210,210,220,210,194,1,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.4.bz2,210,210,220,210,195,52,216,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.2.bz2,220,220,0,220,219,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.7.bz2,200,200,210,200,162,900,5577,0,71,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.9.bz2,190,190,210,190,92,200,732,1,103,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.8.bz2,200,197,210,197,162,194,2302,3,62,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_1.txt_0.1.bz2,220,220,0,220,214,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.3.bz2,220,220,0,220,218,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.2.bz2,220,220,0,220,216,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.1.bz2,220,220,0,220,214,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.4.bz2,210,210,0,210,192,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.6.bz2,210,210,0,210,210,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.5.bz2,210,210,220,210,199,1,0,0,1,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.7.bz2,200,200,210,200,185,784,3984,0,76,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.8.bz2,200,200,210,200,183,84,267,0,30,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_10.txt_0.9.bz2,190,188,200,188,109,260,2095,93,159,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.3.bz2,220,220,0,220,218,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.4.bz2,220,220,0,220,191,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.5.bz2,210,210,220,210,200,84,338,0,6,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.2.bz2,220,220,0,220,217,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.1.bz2,220,220,0,220,211,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.6.bz2,210,210,220,210,206,40,86,0,17,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.7.bz2,203,200,220,200,140,1066,7450,30,391,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.9.bz2,190,190,210,190,177,227,1057,5,78,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_2.txt_0.8.bz2,200,199,210,199,145,264,2309,63,199,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.3.bz2,220,220,0,220,215,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.4.bz2,220,220,0,220,188,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.2.bz2,220,220,0,220,215,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.7.bz2,210,210,0,210,186,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.5.bz2,210,210,220,210,201,21,48,0,3,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.6.bz2,210,210,220,210,193,9,12,0,5,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.1.bz2,220,220,0,220,213,0,1,0,0,1
/home/gplacroix/ic2024/data/set2/C1/BPPC_3_0_3.txt_0.8.bz2,200,200,210,200,135,115,736,3,46,1
