class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,5,10,0.8,1507,3116.170745211592,3112.7891156462583
C,3,8,7,0.4,3110,3119.9482934539524,3119.68253968254
C,3,2,6,0.9,403,640.6912855923116,624.9999999999999
C,3,5,7,0.8,1550,3115.290548621692,3112.288732394365
C,3,3,10,0.6,540,656.4663974915626,644.6153846153845
C,3,2,10,0.3,590,646.3738122237186,630.1612903225806
C,3,3,6,0.9,481,657.8706724791604,643.6538461538461
C,3,1,8,0.3,560,604.3802977792058,586.8181818181816
C,3,5,7,0.6,2495,3115.143259304317,3112.288732394366
C,3,3,6,0.2,620,657.8664216438892,643.6538461538461
C,3,8,10,0.1,3110,3119.904638850496,3119.7415506958255
C,3,8,2,0.8,2658,3119.716411986412,3119.464285714286
C,3,2,4,0.1,620,643.4922210377974,629.6969696969696
C,3,2,8,0.2,610,642.4782060332013,624.1935483870968
C,3,5,10,0.3,3099,3116.0844838197554,3112.789115646259
C,3,2,1,0.9,410,643.7878161141477,625.3125
C,3,7,6,0.3,3110,3119.5423162794987,3119.0784313725494
C,3,5,2,0.1,3110,3116.9607930140924,3116.394052044609
C,3,6,3,0.1,3110,3119.286984857585,3118.7548638132303
C,3,3,9,0.9,445,661.9165732636852,647.6923076923075
C,3,5,5,0.6,2649,3117.910782877003,3114.137323943662
C,3,6,5,0.5,3088,3119.097049322583,3117.623574144487
C,3,3,10,0.7,530,656.5224635904046,644.6153846153846
C,3,5,3,0.7,1971,3117.630185466499,3115.4693140794225
C,3,4,2,0.8,520,669.8809116966997,661.9565217391305
C,3,3,3,0.3,600,662.7341939659932,647.7777777777777
C,3,5,4,0.7,1904,3117.150892648023,3114.963898916968
C,3,5,7,0.9,1249,3115.2110421172665,3112.2887323943655
C,3,3,6,0.6,549,657.8771888575998,643.653846153846
C,3,6,3,0.5,3087,3119.3003561751666,3118.1800766283523
C,3,1,8,0.4,550,605.0290341959229,586.8181818181819
C,3,6,5,0.9,1476,3119.101682208329,3117.6235741444875
C,3,5,9,0.4,3089,3118.128385867321,3114.4346289752652
C,3,3,5,0.2,620,654.5744164438348,641.2962962962962
C,3,3,2,0.5,564,664.8401795886638,650.5769230769229
C,3,1,4,0.2,590,618.8982943177803,600.5
C,3,5,5,0.9,1298,3117.994248395671,3114.1373239436616
C,3,3,9,0.4,580,661.9860855509053,647.6923076923076
C,3,4,5,0.8,520,667.5507223645039,659.7826086956522
C,3,7,9,0.5,3100,3119.774144344787,3119.137254901961
C,3,7,4,0.4,3110,3119.6943604428357,3119.039215686275
C,3,1,7,0.6,519,620.4891018810625,599.5348837209303
C,3,2,4,0.3,590,644.1584567628004,626.71875
C,3,5,9,0.7,2157,3118.0860323015504,3114.4346289752652
C,3,7,8,0.9,1743,3119.5792910024556,3119.035433070866
C,3,5,5,0.8,1710,3118.021101321666,3114.1373239436616
C,3,3,5,0.7,530,654.7247594953886,641.2962962962963
