instance;weight;time
BPPC_7_0_5.txt_0.9.bz2;349;0.000427008
BPPC_4_0_9.txt_0.6.bz2;884;4.28678
BPPC_3_0_9.txt_0.6.bz2;726;0.0996032
BPPC_6_0_9.txt_0.2.bz2;1304;0.0346222
BPPC_1_0_3.txt_0.3.bz2;1069;0.0078609
BPPC_5_0_5.txt_0.2.bz2;936;0.000582933
BPPC_2_0_2.txt_0.5.bz2;735;0.0210481
BPPC_5_0_6.txt_0.2.bz2;1113;0.000196934
BPPC_8_0_5.txt_0.8.bz2;491;0.00486684
BPPC_7_0_6.txt_0.2.bz2;1737;16.4737
BPPC_4_0_6.txt_0.9.bz2;455;0.0084219
BPPC_1_0_9.txt_0.6.bz2;557;0.000548124
BPPC_7_0_6.txt_0.8.bz2;429;0.000612974
BPPC_5_0_8.txt_0.4.bz2;575;0.000427961
BPPC_8_0_10.txt_0.2.bz2;0;0
BPPC_6_0_9.txt_0.5.bz2;694;0.000857115
BPPC_3_0_6.txt_0.4.bz2;1205;9.94467
BPPC_1_0_10.txt_0.1.bz2;1951;0.953792
BPPC_4_0_5.txt_0.3.bz2;0;0
BPPC_5_0_6.txt_0.3.bz2;785;0.000262022
BPPC_4_0_3.txt_0.1.bz2;0;0
BPPC_5_0_5.txt_0.5.bz2;518;0.000362158
BPPC_8_0_4.txt_0.9.bz2;375;0.00103378
BPPC_3_0_8.txt_0.2.bz2;0;0
BPPC_2_0_5.txt_0.6.bz2;644;0.00590301
BPPC_2_0_8.txt_0.7.bz2;537;0.00133991
BPPC_2_0_7.txt_0.2.bz2;1761;19.9384
BPPC_3_0_8.txt_0.6.bz2;738;0.107823
BPPC_1_0_2.txt_0.5.bz2;594;0.000921965
BPPC_1_0_5.txt_0.5.bz2;653;0.000735998
BPPC_4_0_1.txt_0.7.bz2;715;0.401636
BPPC_3_0_4.txt_0.1.bz2;0;0
BPPC_4_0_5.txt_0.2.bz2;0;0
BPPC_1_0_6.txt_0.9.bz2;266;0.000211
BPPC_1_0_4.txt_0.2.bz2;1308;0.104043
BPPC_4_0_8.txt_0.9.bz2;405;0.00762916
BPPC_4_0_7.txt_0.7.bz2;711;0.383931
BPPC_4_0_3.txt_0.6.bz2;889;4.05469
BPPC_8_0_1.txt_0.6.bz2;733;0.0971179
BPPC_5_0_9.txt_0.7.bz2;340;9.39369e-05
BPPC_3_0_9.txt_0.1.bz2;0;0
BPPC_8_0_5.txt_0.2.bz2;0;0
BPPC_7_0_2.txt_0.4.bz2;1018;0.099345
BPPC_1_0_5.txt_0.2.bz2;1243;0.0414362
BPPC_6_0_8.txt_0.4.bz2;855;0.00238705
BPPC_3_0_8.txt_0.8.bz2;511;0.00599003
BPPC_8_0_2.txt_0.1.bz2;0;0
BPPC_7_0_2.txt_0.5.bz2;777;0.0196512
BPPC_6_0_4.txt_0.6.bz2;577;0.000967026
BPPC_2_0_1.txt_0.1.bz2;0;0
BPPC_5_0_5.txt_0.3.bz2;695;0.000154018
BPPC_3_0_4.txt_0.5.bz2;910;0.898759
BPPC_2_0_7.txt_0.3.bz2;1339;1.2038
BPPC_3_0_9.txt_0.7.bz2;630;0.0215831
BPPC_8_0_4.txt_0.6.bz2;856;0.0631359
BPPC_4_0_4.txt_0.5.bz2;1115;62.7691
BPPC_1_0_6.txt_0.5.bz2;664;0.000884056
BPPC_4_0_9.txt_0.5.bz2;1116;67.5748
BPPC_3_0_2.txt_0.3.bz2;1613;411.069
BPPC_1_0_3.txt_0.8.bz2;385;0.000295877
BPPC_4_0_1.txt_0.9.bz2;435;0.00847006
BPPC_8_0_6.txt_0.7.bz2;623;0.019048
BPPC_3_0_5.txt_0.8.bz2;478;0.00598693
BPPC_5_0_3.txt_0.5.bz2;511;0.000337839
BPPC_6_0_5.txt_0.7.bz2;470;0.000329018
BPPC_8_0_7.txt_0.8.bz2;497;0.00617695
BPPC_1_0_5.txt_0.6.bz2;513;0.00051403
BPPC_8_0_10.txt_0.7.bz2;583;0.0207529
BPPC_8_0_5.txt_0.3.bz2;1533;279.069
BPPC_3_0_3.txt_0.1.bz2;0;0
BPPC_2_0_2.txt_0.2.bz2;1712;38.5309
