instance;weight;time
test_500_2000_r0.05-5.dat.bz2;0;0
test_1000_1000_r0.001-8.dat.bz2;2310;0.00950718
test_500_2000_r0.05-9.dat.bz2;0;0
test_1000_2000_r0.001-5.dat.bz2;3920;235.03
test_500_1000_r0.01-1.dat.bz2;1780;130.535
test_1000_1000_r0.002-1.dat.bz2;2390;16.0035
test_1000_2000_r0.02-0.dat.bz2;0;0
test_500_2000_r0.001-0.dat.bz2;3320;0.262679
test_500_2000_r0.05-0.dat.bz2;0;0
test_500_1000_r0.002-0.dat.bz2;1980;0.0500622
test_500_1000_r0.01-0.dat.bz2;1850;15.4749
test_1000_2000_r0.001-1.dat.bz2;0;0
test_500_1000_r0.05-8.dat.bz2;0;0
test_500_2000_r0.005-3.dat.bz2;0;0
test_500_2000_r0.02-5.dat.bz2;0;0
test_500_2000_r0.01-3.dat.bz2;0;0
test_1000_2000_r0.05-2.dat.bz2;0;0
test_500_1000_r0.05-5.dat.bz2;0;0
test_1000_1000_r0.02-8.dat.bz2;0;0
test_1000_2000_r0.05-0.dat.bz2;0;0
test_1000_2000_r0.02-9.dat.bz2;0;0
test_500_1000_r0.01-2.dat.bz2;0;0
test_500_1000_r0.005-4.dat.bz2;1930;2.32685
test_1000_1000_r0.002-6.dat.bz2;2370;3.57217
test_500_1000_r0.05-2.dat.bz2;0;0
test_1000_2000_r0.001-6.dat.bz2;0;0
test_500_2000_r0.05-1.dat.bz2;0;0
test_1000_1000_r0.002-9.dat.bz2;2400;156.91
test_1000_1000_r0.001-3.dat.bz2;2380;0.20368
test_500_1000_r0.001-7.dat.bz2;1930;0.00862908
test_500_1000_r0.002-6.dat.bz2;1910;0.635411
test_1000_1000_r0.02-7.dat.bz2;0;0
test_1000_2000_r0.005-9.dat.bz2;0;0
test_500_2000_r0.001-7.dat.bz2;3330;0.0921869
test_1000_2000_r0.001-8.dat.bz2;0;0
test_500_2000_r0.01-4.dat.bz2;0;0
test_1000_2000_r0.002-4.dat.bz2;3780;268.166
test_500_1000_r0.05-7.dat.bz2;0;0
