instance;weight;size;time
BPPC_1_0_3.txt_0.2.bz2.dimacs.c;1593;20;90
BPPC_1_0_8.txt_0.7.bz2.dimacs.c;499;5;0
BPPC_2_0_6.txt_0.8.bz2.dimacs.c;503;5;0
BPPC_1_0_4.txt_0.3.bz2.dimacs.c;1283;13;10
BPPC_8_0_5.txt_0.1.bz2.dimacs.c;0;0;0
BPPC_5_0_9.txt_0.9.bz2.dimacs.c;1352;3;0
BPPC_7_0_2.txt_0.8.bz2.dimacs.c;2286;6;0
BPPC_8_0_6.txt_0.5.bz2.dimacs.c;5134;12;2785
BPPC_8_0_9.txt_0.6.bz2.dimacs.c;3942;10;287
BPPC_1_0_2.txt_0.4.bz2.dimacs.c;942;12;3
BPPC_7_0_1.txt_0.7.bz2.dimacs.c;3038;7;2
BPPC_5_0_2.txt_0.6.bz2.dimacs.c;2432;6;0
BPPC_3_0_8.txt_0.4.bz2.dimacs.c;1514;16;48670
BPPC_6_0_6.txt_0.5.bz2.dimacs.c;3682;9;1
BPPC_6_0_9.txt_0.2.bz2.dimacs.c;7452;20;103
BPPC_1_0_6.txt_0.2.bz2.dimacs.c;1538;20;174
BPPC_7_0_1.txt_0.8.bz2.dimacs.c;2295;6;0
BPPC_1_0_10.txt_0.8.bz2.dimacs.c;430;5;0
BPPC_1_0_2.txt_0.8.bz2.dimacs.c;448;5;0
BPPC_3_0_9.txt_0.8.bz2.dimacs.c;606;7;5
BPPC_4_0_4.txt_0.6.bz2.dimacs.c;1054;12;10487
BPPC_8_0_10.txt_0.7.bz2.dimacs.c;3359;8;32
BPPC_7_0_2.txt_0.3.bz2.dimacs.c;7088;17;4223
BPPC_4_0_8.txt_0.6.bz2.dimacs.c;1034;11;10632
BPPC_6_0_8.txt_0.3.bz2.dimacs.c;5707;15;15
BPPC_4_0_6.txt_0.5.bz2.dimacs.c;1291;14;278971
BPPC_1_0_1.txt_0.7.bz2.dimacs.c;563;6;0
BPPC_5_0_1.txt_0.7.bz2.dimacs.c;2226;5;0
BPPC_7_0_8.txt_0.3.bz2.dimacs.c;6977;18;4218
BPPC_6_0_2.txt_0.5.bz2.dimacs.c;3424;10;1
BPPC_2_0_3.txt_0.5.bz2.dimacs.c;995;11;47
BPPC_6_0_7.txt_0.7.bz2.dimacs.c;2282;6;0
BPPC_7_0_3.txt_0.8.bz2.dimacs.c;2229;5;0
BPPC_6_0_4.txt_0.9.bz2.dimacs.c;1540;4;0
